model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
Human-GEM.xml	obj	MAR00308	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00309	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00310	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00311	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00312	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00313	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00314	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00315	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00316	187.35363	optimal	0.0	425.189632	1.0
Human-GEM.xml	obj	MAR00317	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00318	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00319	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00320	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00321	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00322	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00323	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00324	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00325	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00326	187.35363	optimal	0.0	638.136029	1.0
Human-GEM.xml	obj	MAR00327	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00328	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00329	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00330	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00331	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00332	187.35363	optimal	0.0	1000.0	1.0
